IDLE,Mbps,Stack,Timestamp,TmrSvc,esp_timer,experiment_runn,ipc0,ipc1,measurer,sys_evt,tiT,wifi
4065071,0.01,4116,0,18,3336,556,27228,44085,4650,13202,7310,705634
4231699,0.00,4116,1,18,4644,5928,27228,44085,19063,13202,10030,718982
5217031,0.00,4116,2,18,5918,5928,27228,44085,25792,13202,11029,731913
6361494,16.37,4116,3,18,7576,94686,27228,44085,32522,13202,717041,987885
6631844,16.65,4116,4,18,9383,179352,27228,44085,38903,13202,1434893,1243517
7248374,16.62,4116,5,18,10907,265918,27228,44085,43465,13202,2196955,1510468
7087319,16.66,4116,6,18,12818,354065,27228,44085,50290,13202,2956555,1775875
7314119,16.60,4116,7,18,14554,444763,27228,44085,55254,13202,3722416,2045622
9235399,16.56,4116,8,18,16341,531391,27228,44085,61457,13202,4479847,2318257
7808228,15.81,4116,9,18,18185,616604,27228,44085,67256,13202,5203695,2572181
10621205,15.14,4116,10,18,20028,699544,27228,44085,71103,13202,5905684,2819197
8367956,15.83,4116,11,18,21805,785507,27228,44085,75230,13202,6633693,3073868
11964807,17.01,4116,12,18,23528,875244,27228,44085,80112,13202,7413321,3352853
12610147,17.92,4116,13,18,25304,968063,27228,44085,83717,13202,8230271,3642862
8952461,17.47,4116,14,18,27164,1057571,27228,44085,90163,13202,9020553,3920915
13921516,17.63,4116,15,18,28879,1149780,27228,44085,94824,13202,9826205,4205547
9351611,17.19,4116,16,18,30911,1238847,27228,44085,99964,13202,10607056,4483913
15243314,16.28,4116,17,18,32754,1325724,27228,44085,103886,13202,11358170,4753631
15904023,16.99,4116,18,18,34654,1412796,27228,44085,109332,13202,12132860,5033167
10050201,16.17,4116,19,18,36541,1501491,27228,44085,114204,13202,12872299,5298185
10256729,17.06,4116,20,18,38237,1590172,27228,44085,118083,13202,13655262,5578056
10476888,16.94,4116,21,18,40053,1679565,27228,44085,124344,13202,14426254,5853140
10699361,16.68,4116,22,18,41706,1769610,27228,44085,127749,13202,15194857,6125432
10924664,16.78,4116,23,18,43595,1857001,27228,44085,132815,13202,15964507,6401582
19912511,16.52,4116,24,18,45304,1942256,27228,44085,138419,13202,16720691,6671859
11382586,16.82,4116,25,18,47031,2028209,27228,44085,143030,13202,17487225,6945682
11597099,16.77,4116,26,18,48946,2116477,27228,44085,147803,13202,18256946,7225594
11832404,16.73,4116,27,18,50804,2203901,27228,44085,152784,13202,19023142,7499386
12055374,16.73,4116,28,18,52541,2291091,27228,44085,157176,13202,19791706,7776291
12275771,16.86,4116,29,18,54445,2379782,27228,44085,162012,13202,20562952,8052304
12505190,16.61,4116,30,18,56336,2467330,27228,44085,166700,13202,21327556,8325300
12735821,16.79,4116,31,18,57939,2553376,27228,44085,170845,13202,22093401,8598192
12976219,16.43,4116,32,18,59713,2641806,27228,44085,175124,13202,22842106,8865256
13239253,15.90,4116,33,18,61522,2725263,27228,44085,178993,13202,23573701,9120747
13526042,15.19,4116,34,18,63274,2807609,27228,44085,184021,13202,24273645,9367819
13800947,15.51,4116,35,18,65085,2891556,27228,44085,189499,13202,24988589,9626314
14011791,17.00,4116,36,18,66911,2979707,27228,44085,194411,13202,25762128,9896146
14245923,16.51,4116,37,18,68737,3067666,27228,44085,199095,13202,26520250,10165848
14542580,15.06,4116,38,18,70381,3149896,27228,44085,204258,13202,27218796,10414231
14812470,15.77,4116,39,18,72030,3235944,27228,44085,209006,13202,27943374,10669782
30722620,14.76,4116,40,18,73863,3316125,27228,44085,212873,13202,28630484,10917904
15376615,16.02,4116,41,18,75571,3402078,27228,44085,218832,13202,29362799,11173487
32090407,15.53,4116,42,18,77445,3486472,27228,44085,225161,13202,30077840,11425574
15858239,17.22,4116,43,18,79303,3577826,27228,44085,230397,13202,30864188,11708591
16065639,17.12,4116,44,18,81131,3665268,27228,44085,237401,13202,31644042,11986243
16261904,17.20,4116,45,18,83105,3756468,27228,44085,243006,13202,32433110,12270605
16458421,17.45,4116,46,18,84989,3848755,27228,44085,247146,13202,33229843,12554539
16674465,17.02,4116,47,18,86870,3937237,27228,44085,251537,13202,34007727,12835043
16881335,17.04,4116,48,18,88685,4027487,27228,44085,258028,13202,34787281,13108684
17076297,17.45,4116,49,18,90444,4118041,27228,44085,261646,13202,35588077,13397644
17280463,17.28,4116,50,18,92316,4206600,27228,44085,266622,13202,36378870,13682653
17528595,16.13,4116,51,18,94266,4290553,27228,44085,270693,13202,37122619,13952883
38677093,17.13,4116,52,18,96071,4381446,27228,44085,276117,13202,37904526,14227679
17952405,16.95,4116,53,18,97866,4472896,27228,44085,282108,13202,38679558,14496537
18154091,17.19,4116,54,18,99731,4562081,27228,44085,287183,13202,39467062,14777556
18350635,17.55,4116,55,18,101449,4654033,27228,44085,290985,13202,40269421,15064760
18535159,17.65,4116,56,18,103253,4743328,27228,44085,296807,13202,41076276,15356409
18765882,16.51,4116,57,18,105010,4829809,27228,44085,301550,13202,41835162,15629257
18933876,18.23,4116,58,18,106892,4921483,27228,44085,306192,13202,42661118,15919137
19093230,18.17,4116,59,18,108741,5014436,27228,44085,310024,13202,43490365,16211941
19325343,16.52,4116,60,18,110295,5101859,27228,44085,315079,13202,44248248,16481179
19516212,17.53,4116,61,18,112047,5192687,27228,44085,319201,13202,45050413,16761938
45255851,15.76,4116,62,18,113762,5277530,27228,44085,324645,13202,45774811,17020639
20077311,14.92,4116,63,18,115584,5357429,27228,44085,328558,13202,46467785,17269041
20325748,16.28,4116,64,18,117441,5445121,27228,44085,333073,13202,47215045,17535085
20594448,15.72,4116,65,18,119158,5529815,27228,44085,339009,13202,47937164,17786065
20835668,16.36,4116,66,18,120929,5616317,27228,44085,344379,13202,48688482,18049118
21089043,16.21,4116,67,18,122603,5704106,27228,44085,349246,13202,49430158,18313569
21338189,16.20,4116,68,18,124256,5789612,27228,44085,354682,13202,50174518,18577508
21547196,17.09,4116,69,18,125977,5879687,27228,44085,358672,13202,50956603,18855512
21739736,17.34,4116,70,18,127834,5971384,27228,44085,362815,13202,51753618,19141497
21938891,17.39,4116,71,18,129619,6060495,27228,44085,368616,13202,52545856,19424507
22129057,17.40,4116,72,18,131412,6149057,27228,44085,375278,13202,53338228,19707582
22350284,16.70,4116,73,18,133059,6238108,27228,44085,380282,13202,54104315,19976405
22531335,17.81,4116,74,18,134989,6329071,27228,44085,385977,13202,54911939,20262952
22745858,17.01,4116,75,18,136681,6419978,27228,44085,391169,13202,55688991,20534761
22947821,17.20,4116,76,18,138462,6509490,27228,44085,395992,13202,56471724,20816133
23133795,17.62,4116,77,18,140267,6601800,27228,44085,400766,13202,57280782,21102789
55927305,17.08,4116,78,18,142094,6691100,27228,44085,406806,13202,58063209,21381317
23583259,16.55,4116,79,18,143869,6775976,27228,44085,411228,13202,58814968,21652558
23789336,17.07,4116,80,18,145651,6867543,27228,44085,416334,13202,59595763,21929293
24015209,16.65,4116,81,18,147629,6957897,27228,44085,421476,13202,60358725,22203338
24240571,16.74,4116,82,18,149558,7044083,27228,44085,427819,13202,61120041,22471943
24470859,16.46,4116,83,18,151347,7131786,27228,44085,432792,13202,61878657,22745951
24708675,16.44,4116,84,18,153028,7218617,27228,44085,436907,13202,62631904,23012348
24923452,17.01,4116,85,18,154803,7305674,27228,44085,440881,13202,63411558,23288773
25149046,16.57,4116,86,18,156564,7395257,27228,44085,445937,13202,64172192,23563272
25360694,17.00,4116,87,18,158370,7484984,27228,44085,451102,13202,64952634,23840831
62590044,16.54,4116,88,18,160086,7575057,27228,44085,455144,13202,65717881,24116788
25816695,16.73,4116,89,18,161971,7660122,27228,44085,460702,13202,66478708,24391598
26043039,16.77,4116,90,18,163804,7748631,27228,44085,464500,13202,67249792,24664941
64580674,16.56,4116,91,18,165690,7836881,27228,44085,469133,13202,68012921,24936166
26511793,16.56,4116,92,18,167462,7924269,27228,44085,473947,13202,68771859,25206859
65912188,16.84,4116,93,18,169189,8011113,27228,44085,480665,13202,69541189,25476825
26958931,16.61,4116,94,18,172032,8098519,27228,44085,485185,13202,70302019,25745908
27169172,16.90,4116,95,18,173751,8187346,27228,44085,489904,13202,71077547,26025559
27389163,16.74,4116,96,18,175599,8275409,27228,44085,494358,13202,71852700,26304364
68577514,16.31,4116,97,18,177571,8363731,27228,44085,499021,13202,72598833,26574535
27845460,17.07,4116,98,18,179370,8453536,27228,44085,504411,13202,73378167,26852144
28062807,16.85,4116,99,18,181293,8542323,27228,44085,510215,13202,74149132,27127976
28292229,16.70,4116,100,18,183194,8629048,27228,44085,514332,13202,74917532,27403035
71234799,16.59,4116,101,18,185024,8716223,27228,44085,518739,13202,75680795,27675499
28738750,16.97,4116,102,18,186874,8802156,27228,44085,524108,13202,76450783,27951100
72570335,16.51,4116,103,18,188507,8894443,27228,44085,527892,13202,77210696,28221381
29193484,16.70,4116,104,18,190254,8979742,27228,44085,533135,13202,77969471,28496764
29418720,16.71,4116,105,18,192092,9067942,27228,44085,538501,13202,78734191,28766062
74576531,16.65,4116,106,18,194014,9155993,27228,44085,543433,13202,79498959,29034923
29865680,16.89,4116,107,18,195926,9243462,27228,44085,547501,13202,80271880,29314702
30091346,16.64,4116,108,18,197677,9330169,27228,44085,552464,13202,81035253,29589410
30374878,15.38,4116,109,18,199541,9413889,27228,44085,556848,13202,81746824,29842382
30664421,15.15,4116,110,18,201338,9497540,27228,44085,561768,13202,82448070,30089303
30842058,17.85,4116,111,18,203122,9589620,27228,44085,568738,13202,83258810,30374728
31053124,17.14,4116,112,18,204826,9680450,27228,44085,573615,13202,84045836,30653870
31226687,17.78,4116,113,18,206528,9772522,27228,44085,577528,13202,84858173,30941630
31439479,16.98,4116,114,18,208433,9862393,27228,44085,582417,13202,85634105,31217163
31662946,16.77,4116,115,18,210307,9949159,27228,44085,586927,13202,86401122,31489980
31924132,15.70,4116,116,18,211993,10035422,27228,44085,591936,13202,87127173,31747292
32121365,17.55,4116,117,18,213584,10126413,27228,44085,597605,13202,87919691,32021726
82601830,16.79,4116,118,18,215437,10214787,27228,44085,602349,13202,88693252,32295550
83279424,16.53,4116,119,18,217246,10303287,27228,44085,607729,13202,89448114,32561166
83946746,16.83,4116,120,18,218918,10392311,27228,44085,613158,13202,90220481,32833033
33010801,16.87,4116,121,18,220489,10481618,27228,44085,618372,13202,90987501,33106941
33260629,16.14,4116,122,18,222285,10567017,27228,44085,622717,13202,91736088,33375607
33464064,17.22,4116,123,18,224043,10657734,27228,44085,627464,13202,92523948,33653753
33723565,15.90,4116,124,18,225664,10741340,27228,44085,634422,13202,93250589,33907516
33934666,17.09,4116,125,18,227522,10831375,27228,44085,638665,13202,94032388,34180598
34133822,17.39,4116,126,18,229257,10920326,27228,44085,644193,13202,94822621,34460967
34440307,14.89,4116,127,18,231018,11000125,27228,44085,648497,13202,95511756,34713378
34728791,15.24,4116,128,18,232747,11079666,27228,44085,654270,13202,96215078,34964820
34949177,16.85,4116,129,18,234543,11168114,27228,44085,659095,13202,96985661,35237332
35141050,17.51,4116,130,18,236481,11258133,27228,44085,664697,13202,97784082,35522807
35366241,16.89,4116,131,18,238203,11347274,27228,44085,669724,13202,98554488,35794150
35605794,16.49,4116,132,18,239945,11434438,27228,44085,673768,13202,99316519,36072582
35826561,16.98,4116,133,18,241801,11521118,27228,44085,679633,13202,100094152,36349707
93356857,16.28,4116,134,18,243640,11607261,27228,44085,683921,13202,100843797,36615597
36250059,17.45,4116,135,18,245399,11696561,27228,44085,691900,13202,101634967,36895697
36414470,18.03,4116,136,18,247207,11787596,27228,44085,697593,13202,102457255,37190788
36621862,17.14,4116,137,18,248981,11878413,27228,44085,703268,13202,103240840,37469104
36843115,16.78,4116,138,18,250799,11969019,27228,44085,707393,13202,104015514,37749948
37063880,16.84,4116,139,18,252456,12058246,27228,44085,713122,13202,104790366,38028123
37337715,15.48,4116,140,18,254196,12140427,27228,44085,719642,13202,105504692,38281588
37546395,17.10,4116,141,18,255945,12228858,27228,44085,725357,13202,106288188,38553763
37810848,15.84,4116,142,18,257520,12311528,27228,44085,729696,13202,107018851,38815808
99362989,14.81,4116,143,18,259298,12391480,27228,44085,734888,13202,107704939,39062393
38432077,14.54,4116,144,18,260931,12471557,27228,44085,740151,13202,108381922,39305390
38612374,17.83,4116,145,18,262709,12563956,27228,44085,746122,13202,109193796,39590115
38819178,17.16,4116,146,18,264429,12653754,27228,44085,752106,13202,109974531,39864655
102038056,16.97,4116,147,18,266235,12744373,27228,44085,756373,13202,110753842,40140610
39367805,14.20,4116,148,18,267916,12822721,27228,44085,764301,13202,111407487,40375547
39667378,15.06,4116,149,18,269549,12905616,27228,44085,769783,13202,112102303,40623753
104153754,14.26,4116,150,18,271235,12983273,27228,44085,773502,13202,112767091,40858157
40233647,16.29,4116,151,18,273077,13068936,27228,44085,780750,13202,113513561,41124418
40433917,17.47,4116,152,18,274874,13161519,27228,44085,785296,13202,114310929,41405858
106138564,16.68,4116,153,18,276685,13249009,27228,44085,791152,13202,115078246,41680644
106797858,17.19,4116,154,18,278525,13339084,27228,44085,796395,13202,115859822,41959525
41073750,17.48,4116,155,18,280332,13428075,27228,44085,799668,13202,116657664,42244013
41295548,16.69,4116,156,18,282078,13518007,27228,44085,805092,13202,117420668,42514543
41536696,16.29,4116,157,18,283938,13605386,27228,44085,810345,13202,118173173,42783719
41743793,17.21,4116,158,18,285664,13697002,27228,44085,814796,13202,118960524,43060175
41935653,17.53,4116,159,18,287442,13788070,27228,44085,821697,13202,119759044,43344135
42155667,16.83,4116,160,18,289310,13876469,27228,44085,825797,13202,120528900,43616835
42343976,17.45,4116,161,18,291133,13968832,27228,44085,830557,13202,121329402,43904710
42547431,17.29,4116,162,18,292985,14059313,27228,44085,836301,13202,122117478,44186329
112722117,16.82,4116,163,18,294981,14149956,27228,44085,842317,13202,122889256,44462697
43026456,16.02,4116,164,18,296864,14233543,27228,44085,850298,13202,123616762,44715535
43250475,16.71,4116,165,18,298659,14319670,27228,44085,854503,13202,124380824,44988142
114737088,17.45,4116,166,18,300357,14409386,27228,44085,858857,13202,125177086,45267145
115392509,17.33,4116,167,18,301880,14497868,27228,44085,866452,13202,125961954,45544194
43844449,17.41,4116,168,18,303924,14585583,27228,44085,871476,13202,126756801,45827474
44045396,17.34,4116,169,18,305640,14676594,27228,44085,876576,13202,127548213,46108836
44278306,16.61,4116,170,18,307504,14764125,27228,44085,882264,13202,128305937,46377915
44542184,15.62,4116,171,18,309292,14849558,27228,44085,888520,13202,129027613,46630112
44737846,17.35,4116,172,18,311052,14941129,27228,44085,895704,13202,129816207,46910485
44962643,16.83,4116,173,18,312930,15030191,27228,44085,900194,13202,130589525,47186427
45205926,16.22,4116,174,18,314642,15114310,27228,44085,905047,13202,131335483,47456548
120725860,16.82,4116,175,18,316387,15201671,27228,44085,909950,13202,132104308,47729812
121374662,17.42,4116,176,18,318236,15293094,27228,44085,915725,13202,132903647,48018949
45907104,15.44,4116,177,18,320150,15376368,27228,44085,920499,13202,133610120,48275418
46144690,16.43,4116,178,18,321940,15461604,27228,44085,926369,13202,134366227,48545134
46361040,16.98,4116,179,18,323735,15550172,27228,44085,932374,13202,135140345,48826814
46580870,16.86,4116,180,18,325517,15639138,27228,44085,937313,13202,135912649,49102145
46793141,17.07,4116,181,18,327282,15728564,27228,44085,943089,13202,136693311,49382788
