period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,536,4902,53710758,29814,17,45038,31462,30225,995452,27244,290216,4092,0.03
1,6183,18696,54526649,32457,17,45038,31462,31772,1027458,27244,290216,4092,0.00
2,8873,24524,56485144,39741,17,45038,31462,34201,1062478,27244,290216,4092,0.08
3,9082,30359,58453659,45717,17,45038,31462,36481,1089604,27244,290216,4092,0.08
4,10735,33280,59434027,49030,17,45038,31462,37377,1105657,27244,290216,4092,0.06
5,13209,39097,61399805,57546,17,45038,31462,39529,1133471,27244,290216,4092,0.13
6,15713,44784,63371495,64600,17,45038,31462,41834,1155888,27244,290216,4092,0.12
7,17933,47789,64347873,71312,17,45038,31462,42864,1175061,27244,290216,4092,0.22
8,20253,50738,65328906,75887,17,45038,31462,43988,1190209,27244,290216,4092,0.14
9,21383,53604,67731980,78751,17,45038,31462,45142,1205300,27244,290216,4092,0.07
10,24239,56748,67293891,84122,17,45038,31462,46107,1218549,27244,290216,4092,0.19
11,25663,59217,68272755,87751,17,45038,31462,47325,1234865,27244,290216,4092,0.09
12,28548,62210,69251233,93280,17,45038,31462,48410,1250690,27244,290216,4092,0.19
13,31049,65216,70228705,98082,17,45038,31462,49478,1267888,27244,290216,4092,0.18
14,36629,67733,71203338,107298,17,45038,31462,50425,1287138,27244,290216,4092,0.37
15,39282,70715,72181929,112374,17,45038,31462,51577,1303409,27244,290216,4092,0.18
16,43644,76706,74145574,121818,17,45038,31462,53605,1330235,27244,290216,4092,0.16
17,48563,82638,76102712,130755,17,45038,31462,55841,1364201,27244,290216,4092,0.20
18,50862,85637,77084531,135196,17,45038,31462,56893,1377513,27244,290216,4092,0.15
19,56617,91491,79048325,145642,17,45038,31462,59210,1403299,27244,290216,4092,0.27
20,66878,100501,81982733,164051,17,45038,31462,61765,1451890,27244,290216,4092,0.23
21,68481,103414,82967383,167413,17,45038,31462,63204,1463141,27244,290216,4092,0.11
22,70764,106415,83944244,173065,17,45038,31462,64419,1480507,27244,290216,4092,0.15
23,74409,112431,85908079,180681,17,45038,31462,66458,1508154,27244,290216,4092,0.06
24,74995,124318,89826869,196136,17,45038,31462,71234,1580692,27244,290216,4092,0.00
25,76062,127305,90805956,199548,17,45038,31462,72492,1597879,27244,290216,4092,0.08
26,76276,133552,92763332,206216,17,45038,31462,74781,1635819,27244,290216,4092,0.09
27,78867,139097,94718827,213260,17,45038,31462,77044,1672414,27244,290216,4092,0.07
28,81286,142096,95701854,218515,17,45038,31462,78096,1684288,27244,290216,4092,0.19
29,82185,148113,97670857,226124,17,45038,31462,80492,1709465,27244,290216,4092,0.18
30,83561,151280,98650850,231226,17,45038,31462,81542,1725894,27244,290216,4092,0.17
31,84067,154354,99633281,234235,17,45038,31462,82496,1740898,27244,290216,4092,0.08
32,84067,157507,100623464,236347,17,45038,31462,83273,1749872,27244,290216,4092,0.06
33,84067,160671,101616629,237278,17,45038,31462,83926,1756016,27244,290216,4092,0.00
34,84067,163834,102610324,238196,17,45038,31462,84494,1761728,27244,290216,4092,0.00
35,84067,166982,103603544,239199,17,45038,31462,85050,1767938,27244,290216,4092,0.00
36,84490,170135,104592046,240825,17,45038,31462,85804,1777840,27244,290216,4092,0.01
37,85974,173490,105573010,244264,17,45038,31462,86854,1792558,27244,290216,4092,0.09
38,86768,176390,106552378,248399,17,45038,31462,88116,1809101,27244,290216,4092,0.13
39,87981,179564,107536505,251348,17,45038,31462,89007,1821358,27244,290216,4092,0.08
40,91713,182724,108512919,258118,17,45038,31462,90132,1839486,27244,290216,4092,0.26
41,93290,185501,109497776,261759,17,45038,31462,90878,1850939,27244,290216,4092,0.12
42,95955,197723,113411024,270979,17,45038,31462,94122,1929820,27244,290216,4092,0.01
43,95955,204045,115380809,273598,17,45038,31462,95993,1957696,27244,290216,4092,0.00
44,95955,207203,116372141,274543,17,45038,31462,96650,1965660,27244,290216,4092,0.00
45,95955,210362,117365446,275469,17,45038,31462,97200,1971847,27244,290216,4092,0.00
46,95955,213518,118357852,276691,17,45038,31462,97830,1978563,27244,290216,4092,0.00
