period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,558,4813,8090707,10813,17,45064,11960,5520,733830,27244,290216,4124,0.02
1,6116,15506,8251142,12457,17,45064,11960,6442,742727,27244,290216,4124,0.00
2,6116,18138,9240152,14104,17,45064,11960,7419,752345,27244,290216,4124,0.00
3,11470,21090,10214109,23128,17,45064,11960,8301,772451,27244,290216,4124,0.36
4,13401,23894,11176226,39703,17,45064,11960,9512,805381,27244,290216,4124,0.69
5,13401,26916,12156117,47310,17,45064,11960,10614,824156,27244,290216,4124,0.28
6,13401,29935,13148001,48453,17,45064,11960,11303,831617,27244,290216,4124,0.00
7,13401,32945,15089781,49425,17,45064,11960,11856,837399,27244,290216,4124,0.00
8,13401,35830,15136174,50306,17,45064,11960,12571,844607,27244,290216,4124,0.00
9,13401,38871,16129806,51229,17,45064,11960,13253,850383,27244,290216,4124,0.00
10,13401,41879,17122782,52178,17,45064,11960,13813,855949,27244,290216,4124,0.00
11,13401,44924,18115516,53181,17,45064,11960,14410,862704,27244,290216,4124,0.00
12,13401,47925,19109518,54124,17,45064,11960,14961,868280,27244,290216,4124,0.00
13,13401,50933,20102483,55044,17,45064,11960,15667,874764,27244,290216,4124,0.00
14,14094,53954,21079056,60407,17,45064,11960,16743,894224,27244,290216,4124,0.11
15,14094,56745,22070690,62207,17,45064,11960,17573,901858,27244,290216,4124,0.00
16,14094,59739,23062840,63231,17,45064,11960,18271,909141,27244,290216,4124,0.00
17,14094,62742,24055675,64247,17,45064,11960,19000,915691,27244,290216,4124,0.00
18,14094,65751,25049224,65178,17,45064,11960,19569,921715,27244,290216,4124,0.00
19,14094,68761,26043222,66108,17,45064,11960,20108,927323,27244,290216,4124,0.00
20,14094,71763,27037405,67031,17,45064,11960,20737,932664,27244,290216,4124,0.00
21,14094,74764,28030557,67993,17,45064,11960,21367,938996,27244,290216,4124,0.00
22,14094,77779,29023735,69008,17,45064,11960,21984,945324,27244,290216,4124,0.00
23,14094,80775,30017320,70108,17,45064,11960,22548,951152,27244,290216,4124,0.00
24,14724,83792,31009245,71113,17,45064,11960,23265,957946,27244,290216,4124,0.00
25,16916,86738,31991633,76755,17,45064,11960,23959,971732,27244,290216,4124,0.18
26,16916,89765,32982395,78230,17,45064,11960,24590,979418,27244,290216,4124,0.02
27,16916,92775,33976054,79174,17,45064,11960,25149,985321,27244,290216,4124,0.00
28,16916,95661,34969526,80082,17,45064,11960,25856,991429,27244,290216,4124,0.00
29,16916,98698,35963700,81037,17,45064,11960,26407,996766,27244,290216,4124,0.00
30,16916,101734,36956337,81986,17,45064,11960,26963,1003644,27244,290216,4124,0.00
31,16916,104737,37949092,82908,17,45064,11960,27599,1010411,27244,290216,4124,0.00
32,16916,107778,38941873,83819,17,45064,11960,28234,1017097,27244,290216,4124,0.00
33,16916,110799,39935533,84962,17,45064,11960,28845,1022932,27244,290216,4124,0.00
34,16916,113809,40927349,86874,17,45064,11960,29489,1030506,27244,290216,4124,0.00
35,17555,116805,41916717,89001,17,45064,11960,30379,1039340,27244,290216,4124,0.00
36,17555,119543,42908342,89990,17,45064,11960,31097,1046402,27244,290216,4124,0.00
37,17555,122546,43902146,90942,17,45064,11960,31658,1052155,27244,290216,4124,0.00
38,17555,125564,44895884,91869,17,45064,11960,32234,1057985,27244,290216,4124,0.00
39,17555,128574,45888592,92776,17,45064,11960,32903,1064777,27244,290216,4124,0.00
40,17555,131587,46883168,93695,17,45064,11960,33451,1069807,27244,290216,4124,0.00
41,17555,134602,47877749,94645,17,45064,11960,34004,1074796,27244,290216,4124,0.00
42,17555,137617,48871155,95649,17,45064,11960,34694,1080837,27244,290216,4124,0.00
43,17555,140613,49863677,97222,17,45064,11960,35420,1087741,27244,290216,4124,0.00
44,17555,143615,50855763,98757,17,45064,11960,36165,1095035,27244,290216,4124,0.00
45,18201,146618,51846791,100586,17,45064,11960,36949,1102277,27244,290216,4124,0.00
46,18201,149343,52839241,101634,17,45064,11960,37653,1108482,27244,290216,4124,0.00
47,19790,152343,53826601,104970,17,45064,11960,38474,1118672,27244,290216,4124,0.11
48,27827,155349,54792215,118823,17,45064,11960,39536,1143390,27244,290216,4124,0.67
49,35794,158355,55762244,131237,17,45064,11960,40092,1165525,27244,290216,4124,0.56
50,39802,161364,56739427,138416,17,45064,11960,41048,1182339,27244,290216,4124,0.27
51,44955,164368,57714654,146763,17,45064,11960,41967,1199879,27244,290216,4124,0.36
52,49536,167351,58687605,155206,17,45064,11960,42727,1219384,27244,290216,4124,0.31
