period,tiT,experiment_runn,measurer,main,IDLE,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,7806,370,0,96588,4564861,18,15702,13421,3383,703353,1823,290608,4144,0.01
1,11618,2216,11676,96588,4749386,18,15702,13421,4397,713557,1823,290608,4144,0.00
2,12541,2216,14280,96588,5740130,18,15702,13421,5396,721428,1823,290608,4144,0.00
3,253883,32198,16855,96588,6636767,18,15702,13421,6146,801295,1823,290608,4144,4.40
4,675850,76343,19579,96588,7473094,18,15702,13421,6901,930480,1823,290608,4144,7.86
5,1186128,127005,22737,96588,8376498,18,15702,13421,7573,1081290,1823,290608,4144,9.55
6,1694049,177735,26114,96588,8864881,18,15702,13421,8314,1227336,1823,290608,4144,9.38
7,2250292,233825,29174,96588,9900593,18,15702,13421,8994,1387762,1823,290608,4144,10.20
8,2702358,279977,32393,96588,10732293,18,15702,13421,9721,1519730,1823,290608,4144,8.33
9,3229743,331699,35265,96588,11538620,18,15702,13421,10294,1674349,1823,290608,4144,9.72
10,3698382,379316,38256,96588,12367957,18,15702,13421,10941,1813136,1823,290608,4144,8.65
11,4172581,425875,41565,96588,11333833,18,15702,13421,11792,1956725,1823,290608,4144,8.70
12,4642830,473597,44380,96588,14019688,18,15702,13421,12420,2093985,1823,290608,4144,8.65
13,5097446,517678,47371,96588,14852006,18,15702,13421,13207,2229115,1823,290608,4144,8.41
14,5590234,567582,50382,96588,15670928,18,15702,13421,13907,2372898,1823,290608,4144,9.06
15,6061640,615041,53376,96588,16497403,18,15702,13421,14576,2512741,1823,290608,4144,8.65
16,6535450,662311,56459,96588,17317181,18,15702,13421,15291,2655289,1823,290608,4144,8.71
17,6935576,701599,59012,96588,18166272,18,15702,13421,15934,2776260,1823,290608,4144,7.38
18,7473275,753523,62116,96588,14965522,18,15702,13421,16637,2932736,1823,290608,4144,9.99
19,7944778,800886,65720,96588,15484883,18,15702,13421,17434,3075102,1823,290608,4144,8.66
20,8429408,848504,68999,96588,20624092,18,15702,13421,18157,3221806,1823,290608,4144,8.83
21,8912112,899485,72467,96588,16508081,18,15702,13421,18881,3365143,1823,290608,4144,8.87
22,9376481,947449,75227,96588,22272235,18,15702,13421,19544,3502623,1823,290608,4144,8.50
23,9852621,994325,77885,96588,23096780,18,15702,13421,20396,3645403,1823,290608,4144,8.80
24,10330649,1041428,81240,96588,18062801,18,15702,13421,21059,3790347,1823,290608,4144,8.77
25,10809877,1087604,84503,96588,24747155,18,15702,13421,21734,3933065,1823,290608,4144,8.79
26,11265579,1132522,87578,96588,25576511,18,15702,13421,22624,4071038,1823,290608,4144,8.43
27,11750052,1180360,90607,96588,19618415,18,15702,13421,23259,4213274,1823,290608,4144,9.01
