period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,474,4463,4070540,9171,19,19509,24077,3177,707541,1843,290608,4152,0.01
1,6034,15230,4241458,11277,19,19509,24077,4496,721346,1843,290608,4152,0.00
2,6034,17844,6080078,13022,19,19509,24077,5753,734501,1843,290608,4152,0.00
3,22288,21998,6941300,153325,19,19509,24077,7398,784793,1843,290608,4152,2.11
4,89281,25591,7079744,998742,19,19509,24077,8626,990937,1843,290608,4152,14.37
5,129272,29363,7269604,1844850,19,19509,24077,9690,1136714,1843,290608,4152,8.78
6,168882,32555,8637074,2685956,19,19509,24077,10825,1274518,1843,290608,4152,8.42
7,208076,44842,7656855,3459545,19,19509,24077,11895,1414536,1843,290608,4152,8.65
8,249318,48270,10337029,4267932,19,19509,24077,12968,1554423,1843,290608,4152,8.70
9,287660,54593,8122263,5043889,19,19509,24077,14078,1694380,1843,290608,4152,8.59
10,327498,65707,8417387,5778253,19,19509,24077,15173,1836844,1843,290608,4152,8.61
11,364870,69626,8755618,6457617,19,19509,24077,16207,1975583,1843,290608,4152,8.13
12,403709,77805,9047482,7176538,19,19509,24077,17296,2115823,1843,290608,4152,8.31
13,443358,85605,14611507,7885574,19,19509,24077,18390,2257286,1843,290608,4152,8.61
14,481688,99090,9569713,8681635,19,19509,24077,19542,2397390,1843,290608,4152,8.58
15,519896,102445,9811157,9439993,19,19509,24077,20605,2534460,1843,290608,4152,8.51
16,560433,113547,10079265,10203376,19,19509,24077,21607,2675268,1843,290608,4152,8.44
17,600814,117628,10283854,11023073,19,19509,24077,22716,2814955,1843,290608,4152,8.58
18,640001,128508,18874121,11848882,19,19509,24077,23793,2956697,1843,290608,4152,8.66
19,680219,140250,10731572,12651601,19,19509,24077,24940,3096947,1843,290608,4152,8.87
20,719101,143798,20594209,13413287,19,19509,24077,25954,3234204,1843,290608,4152,8.00
21,759022,161696,11151401,14259672,19,19509,24077,27136,3377085,1843,290608,4152,8.68
22,798091,174803,22301110,15110769,19,19509,24077,28278,3516897,1843,290608,4152,8.68
23,837741,185879,11504854,15940883,19,19509,24077,29389,3656339,1843,290608,4152,8.67
24,876983,191444,24020783,16772801,19,19509,24077,30477,3797579,1843,290608,4152,8.43
25,916258,207581,24875556,17607562,19,19509,24077,31634,3940590,1843,290608,4152,8.69
26,954647,221967,12108383,18398018,19,19509,24077,32736,4080116,1843,290608,4152,8.49
27,994899,226244,12293605,19208342,19,19509,24077,33827,4213705,1843,290608,4152,8.08
28,1034630,229573,27402644,20052694,19,19509,24077,34895,4353749,1843,290608,4152,8.56
29,1071201,236699,28242338,20889998,19,19509,24077,36006,4490167,1843,290608,4152,8.40
30,1112717,248485,29099324,21741147,19,19509,24077,37164,4628910,1843,290608,4152,8.56
31,1151851,259384,29979954,22604507,19,19509,24077,38241,4772440,1843,290608,4152,8.79
32,1190494,274545,13169067,23399197,19,19509,24077,39295,4912050,1843,290608,4152,8.38
33,1230582,278585,13343594,24251071,19,19509,24077,40391,5051906,1843,290608,4152,8.42
34,1269870,281822,32528738,25067627,19,19509,24077,41474,5191992,1843,290608,4152,8.39
35,1308353,286761,13701151,25891879,19,19509,24077,42568,5334129,1843,290608,4152,8.50
36,1347769,294519,13891648,26700250,19,19509,24077,43732,5470565,1843,290608,4152,8.46
37,1387479,299950,14150561,27475358,19,19509,24077,44816,5610557,1843,290608,4152,8.54
38,1426813,307246,14414081,28243690,19,19509,24077,45885,5750588,1843,290608,4152,8.62
39,1466249,313912,14775080,28909557,19,19509,24077,47001,5888921,1843,290608,4152,8.27
40,1504821,317257,37643991,29570017,19,19509,24077,48089,6032443,1843,290608,4152,8.57
41,1544198,321112,15523530,30161517,19,19509,24077,49261,6174701,1843,290608,4152,8.49
42,1582565,328281,39324802,30780739,19,19509,24077,50437,6315308,1843,290608,4152,8.33
43,1622094,341489,16249236,31481586,19,19509,24077,51495,6459650,1843,290608,4152,8.80
44,1659999,350407,16634791,32107828,19,19509,24077,52558,6601143,1843,290608,4152,8.21
45,1699965,353564,41870964,32920303,19,19509,24077,53616,6739699,1843,290608,4152,8.46
