period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,544,3866,4222433,7268,18,19531,13598,3465,698154,1888,206992,4152,0.01
1,6018,14684,4408915,10809,18,19531,13598,4919,714569,1888,206992,4152,0.00
2,6018,17298,5393986,12263,18,19531,13598,6173,727071,1888,206992,4152,0.00
3,36697,19883,6298304,94826,18,19531,13598,7846,800154,1888,206992,4152,4.08
4,75644,22826,7187965,161467,18,19531,13598,9244,886136,1888,206992,4152,5.16
5,165920,30783,7954375,398269,18,19531,13598,10906,1071105,1888,206992,4152,12.37
6,238685,41421,8768761,598497,18,19531,13598,12389,1220741,1888,206992,4152,9.92
7,242397,44431,9732306,694357,18,19531,13598,13902,1252430,1888,206992,4152,0.93
8,351021,47465,10441063,997196,18,19531,13598,15200,1478092,1888,206992,4152,15.51
9,352616,50263,11415718,1080234,18,19531,13598,16686,1500433,1888,206992,4152,0.21
10,457383,53324,12141696,1332432,18,19531,13598,18200,1716074,1888,206992,4152,14.88
11,511796,60987,13558149,1513408,18,19531,13598,19474,1842611,1888,206992,4152,8.04
12,513839,72023,13974141,1606729,18,19531,13598,20881,1864642,1888,206992,4152,0.27
13,515399,79690,15380756,1720903,18,19531,13598,22620,1888727,1888,206992,4152,0.20
14,624440,88543,15688553,1966355,18,19531,13598,23867,2100938,1888,206992,4152,14.96
15,766497,91900,16333881,2277155,18,19531,13598,25165,2381812,1888,206992,4152,20.15
16,794047,94498,17241443,2426792,18,19531,13598,26830,2456180,1888,206992,4152,4.00
17,795802,97560,18209384,2507959,18,19531,13598,28759,2482344,1888,206992,4152,0.22
18,797040,100616,19182555,2586543,18,19531,13598,30379,2504146,1888,206992,4152,0.15
19,925828,103701,19851437,2888850,18,19531,13598,31673,2759401,1888,206992,4152,18.06
20,1061351,106300,20509268,3192891,18,19531,13598,32963,3029394,1888,206992,4152,19.19
21,1078867,109516,21431620,3287583,18,19531,13598,34617,3093138,1888,206992,4152,3.16
22,1142674,113086,22260336,3490684,18,19531,13598,36010,3227822,1888,206992,4152,8.84
23,1219025,115681,23049323,3671086,18,19531,13598,37405,3394883,1888,206992,4152,11.20
24,1290361,118925,23856161,3871932,18,19531,13598,38921,3541742,1888,206992,4152,9.84
25,1309961,121709,24777339,4012547,18,19531,13598,40477,3605209,1888,206992,4152,3.01
26,1393119,124845,25551677,4213878,18,19531,13598,41898,3784811,1888,206992,4152,11.92
27,1444431,128077,26405041,4383516,18,19531,13598,43193,3898375,1888,206992,4152,7.19
28,1503114,131056,27236683,4561741,18,19531,13598,44572,4030885,1888,206992,4152,8.58
29,1554657,134161,28087956,4729520,18,19531,13598,46196,4145764,1888,206992,4152,7.35
30,1603149,136824,28944066,4862140,18,19531,13598,47762,4264689,1888,206992,4152,7.26
31,1693690,139975,29708794,5119552,18,19531,13598,48986,4448938,1888,206992,4152,12.82
32,1705236,142747,30648340,5203282,18,19531,13598,51057,4499008,1888,206992,4152,2.01
33,1755392,146014,31277957,5365087,18,19531,13598,52577,4611395,1888,206992,4152,7.13
34,1856293,153355,32266057,5628402,18,19531,13598,53732,4831130,1888,206992,4152,14.97
35,1858120,156584,33234764,5707213,18,19531,13598,55567,4855905,1888,206992,4152,0.24
36,1975755,159733,33929078,5977493,18,19531,13598,56838,5094231,1888,206992,4152,16.81
37,1978889,162959,34890974,6106972,18,19531,13598,58605,5126372,1888,206992,4152,0.76
38,1979994,166095,35863394,6186306,18,19531,13598,60321,5150281,1888,206992,4152,0.16
39,2092295,169242,36569938,6451622,18,19531,13598,61617,5375879,1888,206992,4152,15.94
40,2193319,172373,37296854,6678636,18,19531,13598,63026,5592550,1888,206992,4152,14.96
41,2216334,175975,38221133,6783183,18,19531,13598,64824,5655962,1888,206992,4152,3.02
42,2303494,178839,38977888,7009206,18,19531,13598,66281,5847209,1888,206992,4152,13.28
43,2337782,181475,39873041,7156978,18,19531,13598,67885,5933740,1888,206992,4152,4.83
44,2339246,184620,40841211,7222967,18,19531,13598,69802,5960890,1888,206992,4152,0.20
45,2400047,187774,41058754,7396948,18,19531,13598,71231,6095229,1888,206992,4152,8.77
46,2523246,190851,42351731,7661471,18,19531,13598,72538,6342982,1888,206992,4152,17.59
47,2609904,193953,43122679,7870809,18,19531,13598,73802,6520513,1888,206992,4152,12.21
48,2621956,197122,43456012,7918576,18,19531,13598,75222,6570020,1888,206992,4152,2.10
49,2711884,200026,44828857,8110013,18,19531,13598,76827,6756654,1888,206992,4152,12.80
50,2749601,203554,45704930,8221644,18,19531,13598,78629,6855704,1888,206992,4152,5.59
51,2810463,206417,46535742,8403621,18,19531,13598,80047,6986368,1888,206992,4152,8.71
52,2865266,209163,47375409,8561832,18,19531,13598,81645,7112067,1888,206992,4152,8.06
53,2889770,212307,48286941,8672704,18,19531,13598,83593,7181731,1888,206992,4152,3.32
54,2994560,215113,49001814,8918543,18,19531,13598,85047,7403396,1888,206992,4152,15.44
55,2995758,218346,49973832,8992238,18,19531,13598,86617,7426757,1888,206992,4152,0.32
56,3101249,221219,50698624,9217733,18,19531,13598,88025,7640034,1888,206992,4152,14.96
57,3142190,227865,51571871,9328818,18,19531,13598,89755,7745074,1888,206992,4152,6.16
58,3213310,231008,52377256,9509979,18,19531,13598,91157,7895341,1888,206992,4152,10.08
59,3271110,234046,53203707,9653428,18,19531,13598,92656,8030043,1888,206992,4152,8.86
60,3272555,237200,54172877,9735079,18,19531,13598,94319,8056380,1888,206992,4152,0.20
61,3409004,240343,54823917,10022665,18,19531,13598,95834,8326940,1888,206992,4152,19.05
62,3427026,242957,55750677,10100814,18,19531,13598,97306,8386708,1888,206992,4152,3.05
63,3507148,246052,56525974,10317654,18,19531,13598,98827,8564218,1888,206992,4152,11.92
64,3578544,249662,57337270,10503388,18,19531,13598,100370,8711470,1888,206992,4152,9.82
65,3636589,252295,58161563,10645842,18,19531,13598,101933,8853248,1888,206992,4152,8.75
66,3677802,266272,59037135,10756322,18,19531,13598,103452,8949413,1888,206992,4152,5.99
67,3722946,269401,59901609,10903405,18,19531,13598,104929,9055482,1888,206992,4152,6.68
68,3754605,272892,60800883,11010591,18,19531,13598,106390,9136587,1888,206992,4152,4.37
69,3853561,276118,61533050,11227148,18,19531,13598,107860,9344250,1888,206992,4152,14.36
70,3879313,279359,61634531,11340145,18,19531,13598,109435,9407429,1888,206992,4152,3.23
71,3979374,287545,63184849,11552238,18,19531,13598,110740,9614260,1888,206992,4152,14.28
72,3982706,295084,64152598,11602787,18,19531,13598,112159,9645061,1888,206992,4152,0.66
73,4018020,298594,64204555,11748047,18,19531,13598,113591,9725489,1888,206992,4152,4.78
74,4108811,301383,65808356,11981466,18,19531,13598,114859,9913419,1888,206992,4152,12.86
75,4189385,304610,66592133,12178113,18,19531,13598,116141,10083217,1888,206992,4152,11.70
76,4235064,307037,67455143,12312855,18,19531,13598,117822,10195806,1888,206992,4152,6.88
77,4276311,310171,68328530,12456930,18,19531,13598,119318,10294805,1888,206992,4152,5.94
78,4374694,312682,69076399,12687750,18,19531,13598,120308,10493155,1888,206992,4152,13.93
79,4445246,315667,69875908,12873288,18,19531,13598,121795,10648270,1888,206992,4152,10.28
80,4456789,320696,70826161,12989700,18,19531,13598,123480,10696614,1888,206992,4152,2.03
81,4540127,323911,71602510,13170866,18,19531,13598,124984,10866232,1888,206992,4152,11.51
82,4581922,327030,72471912,13308240,18,19531,13598,126582,10970829,1888,206992,4152,6.35
83,4674028,337300,73251768,13547454,18,19531,13598,128012,11159650,1888,206992,4152,12.76
84,4678852,340536,74210445,13595774,18,19531,13598,129568,11194730,1888,206992,4152,1.03
85,4793796,343668,74918553,13853797,18,19531,13598,130854,11422531,1888,206992,4152,15.82
86,4805628,347404,75859030,13943174,18,19531,13598,132625,11471647,1888,206992,4152,2.08
87,4907360,350539,76591540,14181319,18,19531,13598,134035,11681697,1888,206992,4152,14.51
88,4908858,353438,77560695,14267464,18,19531,13598,135809,11707031,1888,206992,4152,0.20
89,5028997,356569,78250152,14515160,18,19531,13598,137112,11949595,1888,206992,4152,16.87
90,5077466,359800,79095006,14636503,18,19531,13598,138605,12070540,1888,206992,4152,7.44
91,5085299,362930,80051451,14724526,18,19531,13598,140195,12105829,1888,206992,4152,0.98
92,5186521,365649,80779411,14954875,18,19531,13598,141635,12319513,1888,206992,4152,14.78
93,5188034,368874,81751399,15009657,18,19531,13598,143173,12342172,1888,206992,4152,0.20
94,5249977,372022,82585543,15153845,18,19531,13598,144308,12471296,1888,206992,4152,8.49
95,5364417,375378,82100079,15403352,18,19531,13598,145355,12702618,1888,206992,4152,16.45
96,5389751,378267,84198007,15492040,18,19531,13598,147102,12777299,1888,206992,4152,3.73
97,5475884,381426,84970238,15703720,18,19531,13598,149793,12953214,1888,206992,4152,12.07
98,5526675,384999,85820588,15854874,18,19531,13598,151356,13069798,1888,206992,4152,7.57
99,5566447,387620,86697197,15948109,18,19531,13598,152822,13169636,1888,206992,4152,5.97
100,5660622,390938,87445806,16163618,18,19531,13598,154125,13362806,1888,206992,4152,13.18
101,5704309,394125,88302410,16290897,18,19531,13598,155932,13477597,1888,206992,4152,6.87
102,5709545,397424,89259054,16367043,18,19531,13598,157450,13512450,1888,206992,4152,1.09
103,5822446,400345,89964834,16607376,18,19531,13598,158863,13744338,1888,206992,4152,15.88
104,5875658,403415,90812640,16750848,18,19531,13598,160515,13861869,1888,206992,4152,7.34
105,5904798,406600,91712858,16849477,18,19531,13598,162077,13945592,1888,206992,4152,4.64
106,5968439,409906,92539813,17013355,18,19531,13598,163319,14080476,1888,206992,4152,8.74
107,6041322,413205,93331433,17187910,18,19531,13598,164901,14242884,1888,206992,4152,10.63
108,6119389,416613,94118937,17388523,18,19531,13598,166329,14404072,1888,206992,4152,10.93
109,6176615,419674,94946690,17597364,18,19531,13598,167953,14539818,1888,206992,4152,8.70
110,6189888,422568,94531114,17690745,18,19531,13598,169305,14589212,1888,206992,4152,2.24
111,6260977,425371,96685138,17851951,18,19531,13598,171067,14748915,1888,206992,4152,10.57
112,6308933,428780,97546166,18033224,18,19531,13598,172744,14857357,1888,206992,4152,6.48
113,6385727,431627,98329126,18195075,18,19531,13598,174199,15026673,1888,206992,4152,11.46
114,6412451,435030,99244112,18311114,18,19531,13598,175632,15091723,1888,206992,4152,3.57
115,6495525,441917,100017241,18514427,18,19531,13598,177195,15272031,1888,206992,4152,12.20
116,6574376,445301,100802943,18662303,18,19531,13598,178743,15434306,1888,206992,4152,10.91
117,6594047,448699,101722651,18711651,18,19531,13598,180320,15497869,1888,206992,4152,3.16
118,6631907,452017,102607590,18867157,18,19531,13598,181637,15586712,1888,206992,4152,5.44
119,6732104,454727,103336026,19073860,18,19531,13598,183105,15801657,1888,206992,4152,14.51
120,6749750,458142,104270616,19165413,18,19531,13598,184626,15853437,1888,206992,4152,2.52
121,6849084,461257,105013126,19370464,18,19531,13598,186105,16060755,1888,206992,4152,14.29
122,6868004,464670,105945891,19462721,18,19531,13598,187766,16113839,1888,206992,4152,2.73
123,6959271,470046,106703648,19654226,18,19531,13598,189264,16305057,1888,206992,4152,13.03
124,7039352,480661,107498775,19839448,18,19531,13598,190471,16469160,1888,206992,4152,11.04
125,7091414,484059,108338717,19974494,18,19531,13598,192322,16593370,1888,206992,4152,7.65
126,7139221,487346,109189355,20108204,18,19531,13598,193918,16713101,1888,206992,4152,7.40
127,7140771,490673,110157692,20235504,18,19531,13598,195763,16738664,1888,206992,4152,0.23
128,7264702,493980,110829578,20479903,18,19531,13598,197177,16992926,1888,206992,4152,17.66
129,7317075,497378,111674878,20615111,18,19531,13598,198490,17114583,1888,206992,4152,7.74
130,7380905,500733,112498966,20790674,18,19531,13598,200222,17251506,1888,206992,4152,8.86
131,7399659,503880,113422204,20896255,18,19531,13598,201855,17313751,1888,206992,4152,3.13
132,7481874,507195,114192443,21080635,18,19531,13598,203442,17491877,1888,206992,4152,11.80
